Player,Map,Category,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,Score,Perfects,Medals,TeamOutcome,TeamScore,LengthSeconds,TeamGameScore
AThaiKiwi,Argyle - Ranked,CTF 3 Captures,Draw,58.15,3928,4756,184,107,77,0.67,-2.33,10,15,8,0,0,1435,0,1,Draw,6345,581,0
J7 ZeR,Argyle - Ranked,CTF 3 Captures,Draw,40.41,2550,4701,146,59,87,0.24,-12.0,4,17,3,0,0,560,1,1,Draw,6345,581,0
TheMageLord,Argyle - Ranked,CTF 3 Captures,Draw,45.1,3717,4601,153,69,84,0.87,-1.33,13,15,2,0,0,1460,1,5,Draw,7285,581,0
BML 1999,Argyle - Ranked,CTF 3 Captures,Draw,62.58,4487,4965,163,102,61,0.93,3.0,13,14,12,0,1,1830,2,10,Draw,7285,581,0
La Catarina,Argyle - Ranked,CTF 3 Captures,Draw,58.06,4124,3870,155,90,65,0.92,1.33,11,12,7,0,0,1490,1,7,Draw,7285,581,0

Manxcy,Argyle - Ranked,CTF 3 Captures,Win,48.02,3739,2965,177,85,92,1.4,6.33,14,10,7,0,0,2085,1,6,Win,6765,395,3
La Catarina,Argyle - Ranked,CTF 3 Captures,Win,62.81,3340,3034,121,76,45,1.63,6.66,13,8,5,0,0,1695,1,7,Win,6765,395,3
TheMageLord,Argyle - Ranked,CTF 3 Captures,Win,50.0,2269,2840,94,47,47,0.86,1.0,6,7,6,0,0,1560,0,3,Win,6765,395,3
BML 1999,Argyle - Ranked,CTF 3 Captures,Win,59.43,3339,2498,106,63,43,2.0,7.0,12,6,3,0,0,1425,2,8,Win,6765,395,3
AThaiKiwi,Argyle - Ranked,CTF 3 Captures,Loss,44.63,2372,3305,121,54,67,0.67,-3.66,8,12,1,0,0,850,2,4,Loss,3695,395,0
Patotally,Argyle - Ranked,CTF 3 Captures,Loss,53.85,3492,3111,130,70,60,1.09,2.33,12,11,4,0,0,1445,1,10,Loss,3695,395,0
ShadowKillxr,Argyle - Ranked,CTF 3 Captures,Loss,60.66,3156,3062,122,74,48,0.82,-1.33,9,11,2,0,0,1000,2,6,Loss,3695,395,0
J7 ZeR,Argyle - Ranked,CTF 3 Captures,Loss,42.22,1995,3282,135,57,78,0.18,-8.0,2,11,3,0,0,400,0,0,Loss,3695,395,0

Manxcy,Live Fire - Ranked,King of the Hill,Win,51.3,5826,5212,230,118,112,0.94,2.0,17,18,9,0,1,2350,0,5,Win,9610,593,4
La Catarina,Live Fire - Ranked,King of the Hill,Win,56.25,4117,4285,176,99,77,0.85,0.66,11,13,8,0,0,1985,1,6,Win,9610,593,4
BML 1999,Live Fire - Ranked,King of the Hill,Win,57.47,5590,5357,221,127,94,1.06,5.66,17,16,14,0,0,2775,1,6,Win,9610,593,4
TheMageLord,Live Fire - Ranked,King of the Hill,Win,50.94,4682,5467,212,108,104,1.0,2.33,17,17,7,0,0,2500,0,7,Win,9610,593,4
Patotally,Live Fire - Ranked,King of the Hill,Loss,53.94,6692,5641,241,130,111,1.53,11.0,23,15,9,0,0,2985,0,13,Loss,8870,593,2
ShadowKillxr,Live Fire - Ranked,King of the Hill,Loss,59.46,5306,4345,185,110,75,1.36,7.0,19,14,6,0,0,2350,2,6,Loss,8870,593,2
AThaiKiwi,Live Fire - Ranked,King of the Hill,Loss,53.49,4978,5094,172,92,80,0.71,-1.33,12,17,11,0,0,1860,0,7,Loss,8870,593,2
J7 ZeR,Live Fire - Ranked,King of the Hill,Loss,49.66,3136,5251,149,74,75,0.56,-5.0,9,16,6,0,0,1675,0,2,Loss,8870,593,2

Patotally,Live Fire - Ranked,King of the Hill,Win,47.62,5083,5229,189,90,99,1.42,7.0,17,12,6,0,0,2325,0,6,Win,11310,608,4
ShadowKillxr,Live Fire - Ranked,King of the Hill,Win,66.14,8391,4708,254,168,86,3.2,26.0,32,10,12,0,0,4100,3,21,Win,11310,608,4
AThaiKiwi,Live Fire - Ranked,King of the Hill,Win,57.63,4432,4758,177,102,75,0.81,0.33,13,16,10,0,0,2360,1,5,Win,11310,608,4
J7 ZeR,Live Fire - Ranked,King of the Hill,Win,47.89,4400,5034,213,102,111,0.93,3.66,14,15,14,0,0,2525,1,6,Win,11310,608,4
Kaczeee,Live Fire - Ranked,King of the Hill,Loss,59.83,7053,5094,234,140,94,1.27,6.33,19,15,7,0,0,2425,1,8,Loss,7400,608,1
Happy 9000,Live Fire - Ranked,King of the Hill,Loss,59.62,5680,6144,208,124,84,0.64,-4.33,14,22,11,0,0,2050,3,10,Loss,7400,608,1
Cyphonhawkex,Live Fire - Ranked,King of the Hill,Loss,41.54,3239,5039,195,81,114,0.61,-6.0,11,18,3,0,0,1375,0,5,Loss,7400,608,1
TheRealWIP03,Live Fire - Ranked,King of the Hill,Loss,47.34,3366,6088,169,80,89,0.43,-10.33,9,21,5,0,0,1550,0,5,Loss,7400,608,1

Patotally,Streets - Ranked,Oddball,Win,57.38,9205,6140,366,210,156,1.73,18.66,26,15,23,0,0,4140,3,19,Win,14320,875,2
ShadowKillxr,Streets - Ranked,Oddball,Win,66.29,9944,7042,356,236,120,1.95,21.0,37,19,9,0,0,4320,4,16,Win,14320,875,2
AThaiKiwi,Streets - Ranked,Oddball,Win,50.46,4691,6770,218,110,108,0.81,0.33,17,21,13,0,0,3400,1,8,Win,14320,875,2
J7 ZeR,Streets - Ranked,Oddball,Win,47.48,6652,6998,278,132,146,0.85,1.0,17,20,12,0,0,2460,0,6,Win,14320,875,2
TheRealWIP03,Streets - Ranked,Oddball,Loss,53.85,6044,7370,260,140,120,0.71,-3.0,17,24,12,0,0,2970,0,4,Loss,10770,875,0
Cyphonhawkex,Streets - Ranked,Oddball,Loss,35.77,3518,7967,260,93,167,0.27,-17.66,7,26,4,0,0,1200,0,0,Loss,10770,875,0
Happy 9000,Streets - Ranked,Oddball,Loss,65.86,9383,7966,331,218,113,1.24,9.0,31,25,9,0,0,3780,4,14,Loss,10770,875,0
Kaczeee,Streets - Ranked,Oddball,Loss,66.24,7836,7459,234,155,79,0.91,2.66,20,22,14,0,0,2820,3,18,Loss,10770,875,0

Manxcy,Forbidden - Ranked,CTF 3 Captures,Win,43.53,5428,4558,255,111,144,1.33,8.0,20,15,9,0,0,2810,1,13,Win,8025,546,3
La Catarina,Forbidden - Ranked,CTF 3 Captures,Win,50.54,3739,4461,186,94,92,0.83,-0.33,10,12,5,0,0,1300,2,6,Win,8025,546,3
TheMageLord,Forbidden - Ranked,CTF 3 Captures,Win,45.73,3748,5419,199,91,108,0.93,1.0,13,14,6,0,0,2505,1,6,Win,8025,546,3
BML 1999,Forbidden - Ranked,CTF 3 Captures,Win,50.0,4292,4077,158,79,79,0.67,-3.33,10,15,5,0,0,1410,0,6,Win,8025,546,3
AThaiKiwi,Forbidden - Ranked,CTF 3 Captures,Loss,53.25,3348,4447,154,82,72,0.86,-0.33,12,14,5,0,0,1545,0,2,Loss,7165,546,0
ShadowKillxr,Forbidden - Ranked,CTF 3 Captures,Loss,62.73,6043,4433,220,138,82,1.58,10.33,19,12,10,0,0,2495,2,7,Loss,7165,546,0
Patotally,Forbidden - Ranked,CTF 3 Captures,Loss,59.73,5912,3867,221,132,89,1.36,6.0,15,11,6,0,0,1890,3,18,Loss,7165,546,0
J7 ZeR,Forbidden - Ranked,CTF 3 Captures,Loss,52.32,3057,4850,151,79,72,0.63,-4.66,10,16,4,0,0,1235,0,3,Loss,7165,546,0

Manxcy,Solitude - Ranked,Strongholds,Win,53.37,4434,4056,208,111,97,0.92,3.66,11,12,14,0,0,2160,2,5,Win,9100,477,35
BML 1999,Solitude - Ranked,Strongholds,Win,53.15,4206,3692,222,118,104,1.33,6.0,16,12,6,0,0,2335,1,5,Win,9100,477,35
La Catarina,Solitude - Ranked,Strongholds,Win,64.2,4697,3354,176,113,63,2.63,15.0,21,8,6,0,0,2870,3,8,Win,9100,477,35
TheMageLord,Solitude - Ranked,Strongholds,Win,43.83,3264,4358,162,71,91,0.71,-1.33,10,14,8,0,0,1735,0,2,Win,9100,477,35
ShadowKillxr,Solitude - Ranked,Strongholds,Loss,70.17,5197,3819,181,127,54,1.31,5.33,17,13,4,0,0,2225,0,6,Loss,7535,477,250
AThaiKiwi,Solitude - Ranked,Strongholds,Loss,49.18,2972,4033,122,60,62,0.79,-1.33,11,14,5,0,0,1700,0,4,Loss,7535,477,250
Patotally,Solitude - Ranked,Strongholds,Loss,61.44,4057,4236,153,94,59,0.73,0.66,11,15,14,0,0,2260,0,3,Loss,7535,477,250
J7 ZeR,Solitude - Ranked,Strongholds,Loss,47.62,3090,4513,147,70,77,0.44,-7.33,7,16,5,0,0,1350,0,2,Loss,7535,477,250

Spartarn Spy,Live Fire - Ranked,Oddball,Win,58.63,11746,11563,452,265,187,1.06,8.0,34,32,18,0,0,4650,0,12,Win,19525,1347,2
